STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,YEAR_RANGE,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Haryana,Ambala,PMGSY-I,2000-2013,22,0,22,0,0,0,171.07,50.3457,170.734,53.1038,0
Haryana,Ambala,PMGSY-II,2013-2018,5,0,5,0,0,0,54.055,53.3121,54.055,45.0251,0
Haryana,Bhiwani,PMGSY-I,2000-2013,15,0,15,0,0,0,174.78,82.3566,174.63,58.3123,0
Haryana,Bhiwani,PMGSY-II,2013-2018,3,0,3,0,0,0,32.34,23.4998,32.34,18.6206,0
Haryana,Fatehabad,PMGSY-I,2000-2013,18,0,18,0,0,0,205.46,67.7108,205.342,59.351,0
Haryana,Hisar,PMGSY-II,2013-2018,3,0,3,0,0,0,28.45,24.1865,28.45,18.711,0
Haryana,Jhajjar,PMGSY-I,2000-2013,30,0,30,0,0,0,321.21,120.97,321.73,107.6937,0
Haryana,Karnal,PMGSY-I,2000-2013,21,0,21,0,0,0,185.7,68.9537,185.5,62.4072,0
Haryana,Palwal,PMGSY-III,2019-Present,12,0,12,0,0,0,105.821,48.82524,103.103,43.1292,0
Haryana,Panchkula,PMGSY-II,2013-2018,1,0,1,0,0,0,6.4,4.1956,6.4,3.9212,0
Haryana,Panipat,PMGSY-II,2013-2018,4,0,4,0,0,0,33.59,31.7896,33.239,22.9247,0
Haryana,Rewari,PMGSY-I,2000-2013,22,0,22,0,0,0,238.406,84.1866,238.318,70.4965,0
Haryana,Rohtak,PMGSY-III,2019-Present,26,0,26,0,0,0,229.577,97.72531,225.013,91.7552,0
Haryana,Sirsa,PMGSY-II,2013-2018,4,2,4,2,0,0,70.28,60.5244,70.02,56.3356,0
Haryana,Yamuna Nagar,PMGSY-I,2000-2013,16,0,16,0,0,0,192.87,66.2875,192.87,66.1965,0
Haryana,Yamuna Nagar,PMGSY-III,2019-Present,8,0,8,0,0,0,56.51,20.90174,55.211,18.5746,0
Himachal Pradesh,Hamirpur,PMGSY-I,2000-2013,151,6,151,6,0,0,759.038,227.8936,753.124,219.0402,0
Himachal Pradesh,Kangra,PMGSY-II,2013-2018,24,0,24,0,0,0,234.39,156.6955,234.025,151.5347,0
Himachal Pradesh,Kinnaur,PMGSY-I,2000-2013,59,1,57,1,2,0,503.72,172.70948,475.53,164.364,5.405
Himachal Pradesh,Lahul And Spiti,PMGSY-I,2000-2013,27,0,27,0,0,0,287.435,41.1428,286.43,39.6189,0
Himachal Pradesh,Mandi,PMGSY-I,2000-2013,621,18,621,18,0,0,3818.94,1295.1334,3723.759,1247.0603,0
Himachal Pradesh,Mandi,PMGSY-III,2019-Present,29,1,3,0,26,1,362.1,383.21903,103.63,104.9561,257.97
Himachal Pradesh,Shimla,PMGSY-III,2019-Present,49,0,1,0,48,0,571.68,551.48496,140.49,129.4326,431.03
Himachal Pradesh,Solan,PMGSY-I,2000-2013,184,1,184,1,0,0,1169.528,360.6669,1141.164,339.0741,0
Himachal Pradesh,Solan,PMGSY-III,2019-Present,25,4,0,0,25,4,291.26,306.40434,60,83.6128,231.26
Himachal Pradesh,Una,PMGSY-II,2013-2018,9,1,9,1,0,0,85.345,75.988,83.729,77.9454,0
Himachal Pradesh,Una,PMGSY-III,2019-Present,19,11,0,1,19,10,159.19,243.631,66.98,67.161,92.21
Jammu And Kashmir,Anantnag,PMGSY-III,2019-Present,8,0,7,0,1,0,34.346,31.00592,33.73,24.7542,0.5
Jammu And Kashmir,Bandipora,PMGSY-II,2013-2018,3,0,3,0,0,0,18.25,22.0933,18.35,18.6631,0
Jammu And Kashmir,Bandipora,NA,-,9,0,0,0,9,0,47.935,NA,0,0,47.935
Jammu And Kashmir,Baramula,PMGSY-I,2000-2013,198,0,192,0,6,0,863.915,550.2794,796.997,468.5818,6.5
Jammu And Kashmir,Budgam,PMGSY-III,2019-Present,25,0,19,0,6,0,184.859,177.63144,141.612,129.8205,41.976
Jammu And Kashmir,Doda,PMGSY-I,2000-2013,172,11,170,11,2,0,1656.558,1021.39496,1622.645,1022.2226,0.25
Jammu And Kashmir,Doda,PMGSY-III,2019-Present,10,1,6,0,4,1,110.42,129.675,96.1,102.8107,14.32
Jammu And Kashmir,Ganderbal,PMGSY-I,2000-2013,109,4,108,4,1,0,334.84,237.2777,308.62,211.0589,0.46
Jammu And Kashmir,Kathua,PMGSY-III,2019-Present,12,13,11,5,1,8,86.407,119.8515,77.405,95.9281,8.8
Jammu And Kashmir,Kishtwar,PMGSY-I,2000-2013,127,25,99,17,28,8,1281.54,893.67974,1113.655,756.3246,147.41
Jammu And Kashmir,Kishtwar,NA,-,20,0,0,0,20,0,93.21,NA,0,0,93.21
Jammu And Kashmir,Kupwara,PMGSY-III,2019-Present,15,0,11,0,4,0,125.756,109.80046,103.726,63.7967,21.2
Jammu And Kashmir,Pulwama,NA,-,14,0,0,0,14,0,54.22,NA,0,0,54.22
Jammu And Kashmir,Ramban,PMGSY-I,2000-2013,88,18,84,17,4,1,787.775,488.2015,773.01,533.993,8.895
Jammu And Kashmir,Reasi,NA,-,21,0,0,0,21,0,181.881,NA,0,0,181.881
Jammu And Kashmir,Shopian,PMGSY-I,2000-2013,85,0,85,0,0,0,290.15,172.09632,287.404,150.2823,0
Jammu And Kashmir,Srinagar,PMGSY-II,2013-2018,1,0,1,0,0,0,7,4.625,4.2,2.2908,0
Jharkhand,Bokaro,PMGSY-III,2019-Present,15,9,14,8,1,1,162.527,118.8933,157.449,115.0693,3.96
Jharkhand,Chatra,PM-JANMAN,2023-Present,10,0,0,0,10,0,16.111,14.9148,1.385,0,14.726
Jharkhand,Deoghar,PMGSY-II,2013-2018,8,0,8,0,0,0,78.895,41.2617,78.178,34.1931,0
Jharkhand,Dumka,PM-JANMAN,2023-Present,23,0,0,0,23,0,40.653,36.84515,1.61,0,39.043
Jharkhand,Garhwa,RCPLWEA,2016-Present,14,23,13,21,1,2,136.506,150.98917,130.006,96.0563,6.5
Jharkhand,Giridih,PMGSY-III,2019-Present,29,5,7,5,22,0,258.785,167.36601,218.857,140.094,39.851
Jharkhand,Gumla,RCPLWEA,2016-Present,17,30,14,27,3,3,264.96,296.89745,245.145,271.2817,17.85
Jharkhand,Jamtara,PMGSY-I,2000-2013,228,5,228,5,0,0,721.994,251.40775,713.172,226.4018,0
Jharkhand,Khunti,PMGSY-III,2019-Present,25,10,18,1,7,9,219.64,185.54227,198.945,135.3343,20.605
Jharkhand,Koderma,RCPLWEA,2016-Present,1,0,1,0,0,0,23.66,17.6847,23.66,21.5079,0
Jharkhand,Koderma,PM-JANMAN,2023-Present,1,0,0,0,1,0,3.13,3.05709,0,0,3.13
Jharkhand,Latehar,PMGSY-III,2019-Present,15,13,0,0,15,13,146.116,109.45159,56.396,58.3147,89.72
Jharkhand,Pakur,PMGSY-II,2013-2018,5,0,5,0,0,0,61.25,44.0773,60.308,34.0049,0
Jharkhand,Palamu,PMGSY-I,2000-2013,441,92,434,91,7,1,1579.692,661.90943,1521.767,610.0427,25.06
Jharkhand,Palamu,PMGSY-III,2019-Present,25,13,0,2,25,11,223.406,175.30965,100.3,106.2087,123.106
Jharkhand,Purbi Singhbhum,PM-JANMAN,2023-Present,8,0,0,0,8,0,31.95,29.51798,0,0,31.95
Jharkhand,Ranchi,RCPLWEA,2016-Present,1,1,1,0,0,1,5.54,8.2123,5.54,7.6573,0
Jharkhand,Saraikela Kharsawan,RCPLWEA,2016-Present,15,9,13,9,2,0,131.527,110.35551,131.527,113.1731,0
Jharkhand,Saraikela Kharsawan,PM-JANMAN,2023-Present,1,1,0,0,1,1,10.5,10.4017,0,0,10.5
Jharkhand,Simdega,PMGSY-I,2000-2013,269,6,269,6,0,0,1035.664,365.31852,1001.908,383.7089,0
Jharkhand,Simdega,PMGSY-III,2019-Present,8,2,4,0,4,2,95.037,75.24856,73.409,65.7974,21.375
Karnataka,Bangalore U,PMGSY-I,2000-2013,62,0,62,0,0,0,330.9,73.1629,330.9,81.0467,0
Karnataka,Bellary,PMGSY-I,2000-2013,103,6,103,6,0,0,613.73,117.3064,613.73,125.0896,0
Karnataka,Bidar,PMGSY-III,2019-Present,35,0,34,0,1,0,189.06,102.67988,185.161,96.6875,1.2
Karnataka,Bijapur,PMGSY-II,2013-2018,7,0,7,0,0,0,70,33.8041,69.43,33.1704,0
Karnataka,Chamarajanagar,PMGSY-I,2000-2013,68,0,68,0,0,0,315.695,57.0738,315.695,69.2926,0
Karnataka,Chamarajanagar,PMGSY-II,2013-2018,8,0,8,0,0,0,69.74,27.4781,71.44,28.4693,0
Karnataka,Chamarajanagar,PMGSY-III,2019-Present,17,0,17,0,0,0,111.285,57.26696,108.93,56.9493,0
Karnataka,Chickballapur,PMGSY-III,2019-Present,17,0,17,0,0,0,157.79,85.5812,155.083,86.9357,0
Karnataka,Chickmagalur,PMGSY-II,2013-2018,8,0,8,0,0,0,70.8,36.6656,71.5,32.7366,0
Karnataka,Chitradurga,PMGSY-III,2019-Present,26,0,26,0,0,0,168.18,88.6759,167.91,85.7989,0
Karnataka,Dakshina Kannada,PMGSY-III,2019-Present,21,7,21,7,0,0,172.595,151.51757,172.02,157.0854,0
Karnataka,Kodagu,PMGSY-II,2013-2018,6,2,6,2,0,0,40.07,28.9295,40.11,30.5761,0
Karnataka,Koppal,PMGSY-I,2000-2013,103,2,103,2,0,0,535.45,115.1323,535.45,115.97,0
Karnataka,Koppal,PMGSY-II,2013-2018,7,0,7,0,0,0,70.2,21.3982,70.195,18.6394,0
Karnataka,Raichur,PMGSY-III,2019-Present,24,3,20,2,4,1,177.95,119.72044,164.412,113.7037,4.65
Karnataka,Shimoga,PMGSY-III,2019-Present,31,6,31,6,0,0,190.025,133.15624,175.901,122.8463,0
Karnataka,Tumkur,PMGSY-II,2013-2018,16,0,16,0,0,0,128.77,59.5497,128.24,51.2594,0
Karnataka,Udupi,PMGSY-II,2013-2018,12,4,12,4,0,0,58.65,43.7056,57.99,42.1541,0
Karnataka,Udupi,PMGSY-III,2019-Present,24,7,24,7,0,0,148.502,137.2723,145.275,141.9198,0
Karnataka,Udupi,PM-JANMAN,2023-Present,5,0,0,0,5,0,5.831,5.3238,0,0,5.831
Karnataka,Uttara Kannada,PMGSY-I,2000-2013,105,2,105,2,0,0,604.202,140.7259,604.202,171.0855,0
Karnataka,Uttara Kannada,PMGSY-III,2019-Present,47,13,44,12,3,1,300.7,217.79293,286.738,231.9365,7.5
Kerala,Ernakulam,PMGSY-II,2013-2018,9,1,9,1,0,0,32.228,29.43626,29.669,22.0616,0
Kerala,Kannur,PMGSY-II,2013-2018,9,2,7,2,2,0,49.057,50.73585,48.522,44.9606,0.005
Kerala,Kasaragod,PMGSY-I,2000-2013,96,0,96,0,0,0,247.091,110.9047,246.73,124.4521,0
Kerala,Kollam,PMGSY-I,2000-2013,78,0,78,0,0,0,166.137,64.0191,165.962,67.8229,0
Kerala,Kottayam,PMGSY-I,2000-2013,61,0,59,0,2,0,151.898,74.0742,143.087,91.701,6.883
Kerala,Malappuram,PMGSY-II,2013-2018,12,0,12,0,0,0,46.897,31.51363,46.861,26.7286,0
Kerala,Palakkad,PMGSY-III,2019-Present,25,2,3,0,22,2,135.815,132.32241,62.472,39.6212,73.242
Kerala,Thiruvananthapuram,PMGSY-III,2019-Present,23,1,11,0,12,1,114.005,94.07263,69.307,48.843,43.388
Kerala,Thrissur,PMGSY-III,2019-Present,28,0,12,0,16,0,122.979,99.52075,58.093,47.374,64.03
Kerala,Wayanad,PMGSY-I,2000-2013,43,0,43,0,0,0,136.004,54.6217,134.354,46.0956,0
Kerala,Wayanad,PMGSY-III,2019-Present,11,2,4,0,7,2,69.09,66.20637,32.548,16.0796,36.542
Ladakh,Kargil,PMGSY-II,2013-2018,8,1,6,1,2,0,43.3,54.9769,41.85,47.1125,1.6
Madhya Pradesh,Alirajpur,PMGSY-I,2000-2013,304,24,304,24,0,0,1286.98,448.0477,1235.33,504.9899,0
Madhya Pradesh,Alirajpur,PMGSY-II,2013-2018,3,0,3,0,0,0,38.55,24.43456,38.82,21.0181,0
Madhya Pradesh,Anuppur,PMGSY-I,2000-2013,269,6,269,6,0,0,1093.975,308.0774,1065.674,294.2849,0
Madhya Pradesh,Anuppur,PM-JANMAN,2023-Present,95,0,5,0,90,0,213.845,149.03228,22.689,0,190.715
Madhya Pradesh,Ashok Nagar,PMGSY-III,2019-Present,12,9,12,8,0,1,170.99,152.35591,170.034,122.3441,0
Madhya Pradesh,Barwani,PMGSY-III,2019-Present,34,22,28,19,6,3,264.127,208.16833,261.968,151.6087,1.18
Madhya Pradesh,Betul,PMGSY-II,2013-2018,16,7,16,7,0,0,193.142,143.43732,188.772,131.6025,0
Madhya Pradesh,Burhanpur,PMGSY-II,2013-2018,6,1,6,1,0,0,28.95,20.2889,28.88,16.6051,0
Madhya Pradesh,Chhatarpur,PMGSY-III,2019-Present,40,3,37,2,3,1,314.68,201.6332,305.163,143.5011,7.71
Madhya Pradesh,Damoh,PMGSY-I,2000-2013,290,5,290,5,0,0,1032.78,327.17,1006.959,304.0001,0
Madhya Pradesh,Dewas,PMGSY-I,2000-2013,374,22,374,22,0,0,1422.735,539.7617,1362.9,514.5918,0
Madhya Pradesh,Dindori,PMGSY-II,2013-2018,7,4,7,4,0,0,83.21,53.39352,79.117,57.7301,0
Madhya Pradesh,Guna,PMGSY-I,2000-2013,322,2,322,0,0,2,1330.761,460.9418,1284.584,418.2637,0
Madhya Pradesh,Harda,PMGSY-I,2000-2013,128,14,128,14,0,0,728.87,237.52875,663.859,251.2175,0
Madhya Pradesh,Harda,PMGSY-III,2019-Present,11,9,8,8,3,1,117.94,84.12113,112.651,66.1722,4.435
Madhya Pradesh,Hoshangabad,PMGSY-II,2013-2018,11,3,11,3,0,0,107.129,83.76794,106.112,83.6187,0
Madhya Pradesh,Katni,PMGSY-II,2013-2018,7,2,7,2,0,0,85.295,49.5771,83.757,42.2851,0
Madhya Pradesh,Khandwa,PMGSY-I,2000-2013,323,34,323,34,0,0,1300.552,455.78852,1185.083,409.7413,0
Madhya Pradesh,Khargone,PMGSY-II,2013-2018,9,12,9,11,0,1,176.148,135.58831,176.508,119.5965,0
Madhya Pradesh,Maihar,PM-JANMAN,2023-Present,1,0,0,0,1,0,2.85,2.43826,0,0,2.85
Madhya Pradesh,Mandla,PMGSY-II,2013-2018,7,3,7,3,0,0,110.23,74.66595,107.63,67.4492,0
Madhya Pradesh,Mandla,PMGSY-III,2019-Present,25,7,24,4,1,3,291.573,199.1078,289.694,116.1763,1.1
Madhya Pradesh,Mandsour,PMGSY-I,2000-2013,355,4,355,4,0,0,1675.945,527.265,1635.379,443.3134,0
Madhya Pradesh,Morena,PMGSY-III,2019-Present,22,13,20,11,2,2,269.264,218.71788,258.903,163.9058,3.32
Madhya Pradesh,Ratlam,PMGSY-III,2019-Present,18,22,18,18,0,4,231.447,216.06439,226.711,144.5031,0
Madhya Pradesh,Sagar,PMGSY-II,2013-2018,13,8,13,8,0,0,178.727,151.28449,177.55,140.3944,0
Madhya Pradesh,Sagar,PMGSY-III,2019-Present,35,32,31,16,4,16,456.143,441.51278,423.227,319.4186,23.545
Madhya Pradesh,Sehore,PMGSY-II,2013-2018,5,9,5,9,0,0,82.1,89.77582,79.476,80.1687,0
Madhya Pradesh,Seoni,PMGSY-II,2013-2018,10,10,10,10,0,0,141.22,87.1031,138.426,73.8472,0
Madhya Pradesh,Seoni,PMGSY-III,2019-Present,19,25,19,22,0,3,312.185,260.39721,307.122,192.4077,0
Madhya Pradesh,Sheopur,PM-JANMAN,2023-Present,30,0,0,0,30,0,60.83,42.97811,2.85,0,57.98
Madhya Pradesh,Singrauli,PMGSY-II,2013-2018,2,0,2,0,0,0,48.7,31.1032,48.682,28.4263,0
Madhya Pradesh,Singrauli,PM-JANMAN,2023-Present,40,0,0,0,40,0,96.11,68.61853,5.5,0,90.61
Madhya Pradesh,Tikamgarh,PMGSY-I,2000-2013,268,3,268,3,0,0,927,261.6702,926.406,219.8498,0
Madhya Pradesh,Ujjain,PMGSY-III,2019-Present,18,29,17,15,1,14,264.332,263.47195,258.313,192.0964,1.51
Madhya Pradesh,Vidisha,PMGSY-I,2000-2013,369,4,369,4,0,0,1416.114,443.6099,1377.771,389.903,0
Maharashtra,Ahmednagar,PMGSY-III,2019-Present,59,4,24,0,35,4,414.45,321.6229,286.965,229.3449,126.905
Maharashtra,Amrawati,PMGSY-II,2013-2018,8,2,8,2,0,0,66.6,33.8249,65.9,30.3332,0
Maharashtra,Beed,PMGSY-II,2013-2018,12,9,12,9,0,0,101.72,68.0453,99.534,63.0521,0
Maharashtra,Buldhana,PMGSY-III,2019-Present,19,9,13,0,6,9,100.34,94.41716,86.07,79.9625,12.912
Maharashtra,Dhule,PMGSY-I,2000-2013,168,50,166,50,2,0,785.565,321.2574,748.235,307.7749,20.91
Maharashtra,Gadchiroli,PMGSY-II,2013-2018,10,0,10,0,0,0,63.85,37.1005,63.622,25.7138,0
Maharashtra,Gadchiroli,RCPLWEA,2016-Present,26,68,20,63,6,5,487.716,688.75014,420.956,432.6758,66.76
Maharashtra,Hingoli,PMGSY-II,2013-2018,6,1,6,1,0,0,33.9,21.0556,33.9,19.3926,0
Maharashtra,Kolhapur,PMGSY-I,2000-2013,140,10,140,9,0,1,584.11,172.3683,579.25,186.7419,0
Maharashtra,Nagpur,PMGSY-I,2000-2013,150,11,150,11,0,0,642.52,143.4769,621.51,143.1658,0
Maharashtra,Nanded,PMGSY-III,2019-Present,30,3,14,0,16,3,214.44,183.85686,117.999,111.1871,93.581
Maharashtra,Nandurbar,PMGSY-III,2019-Present,21,0,9,0,12,0,155.815,102.41629,131.67,73.745,23.51
Maharashtra,Nashik,PMGSY-II,2013-2018,20,4,20,4,0,0,138.255,79.8756,137.725,84.012,0
Maharashtra,Parbhani,PMGSY-I,2000-2013,165,18,165,18,0,0,474.795,116.425,454.067,137.3005,0
Maharashtra,Parbhani,PMGSY-III,2019-Present,16,2,2,0,14,2,114.165,120.98003,14.1,67.8407,100.065
Maharashtra,Raigad,PMGSY-I,2000-2013,88,2,88,2,0,0,321.595,115.5063,312.29,129.5261,0
Maharashtra,Raigad,PMGSY-III,2019-Present,15,0,7,0,8,0,76.75,61.92584,50.943,17.3897,25.607
Maharashtra,Ratnagiri,PMGSY-II,2013-2018,14,7,14,7,0,0,85.91,50.1249,85.61,47.7912,0
Maharashtra,Sangali,PMGSY-II,2013-2018,15,0,15,0,0,0,75.158,36.0634,74.769,36.1581,0
Maharashtra,Thane,PMGSY-I,2000-2013,43,0,43,0,0,0,115.012,38.8165,110.396,32.9066,0
Maharashtra,Washim,PMGSY-II,2013-2018,6,1,6,1,0,0,39.38,24.2801,39.38,21.3985,0
Maharashtra,Yavatmal,PMGSY-I,2000-2013,147,37,147,37,0,0,913.3,230.781,918.3,567.0564,0
Maharashtra,Yavatmal,PMGSY-II,2013-2018,13,5,13,5,0,0,82.94,49.785,82.94,52.8659,0
Manipur,Bishnupur,PMGSY-III,2019-Present,10,0,0,0,10,0,67.334,52.87731,0,0.2834,67.334
Manipur,Churachandpur,PMGSY-III,2019-Present,3,0,0,0,3,0,22.14,18.76678,0,0.161,22.14
Manipur,Imphal East,PMGSY-I,2000-2013,242,35,242,25,0,10,522.193,367.55554,529.163,352.8041,0
Manipur,Imphal West,PMGSY-II,2013-2018,8,0,8,0,0,0,38.9,29.539,39.92,24.7022,0
Manipur,Senapati,PMGSY-II,2013-2018,4,2,3,2,1,0,22.38,22.0518,16.38,16.5409,6
Manipur,Tamenglong,PMGSY-III,2019-Present,2,0,0,0,2,0,20.2,17.74663,0,0.143,20.2
Manipur,Ukhrul,PMGSY-II,2013-2018,3,0,3,0,0,0,39,33.217,39,27.9998,0
Meghalaya,East Garo Hills,PMGSY-I,2000-2013,132,22,128,22,4,0,560.179,412.41858,542.65,447.5456,14.827
Meghalaya,East Khasi Hills,PMGSY-II,2013-2018,18,0,18,0,0,0,106.012,73.62574,105.915,71.7412,0
Meghalaya,East Khasi Hills,PMGSY-III,2019-Present,31,4,12,0,19,4,240.852,248.90969,119.636,78.7698,121.211
Meghalaya,South Garo Hills,PMGSY-II,2013-2018,10,6,7,6,3,0,57.631,60.78697,55.181,70.7654,2.45
Meghalaya,South Garo Hills,PMGSY-III,2019-Present,6,7,2,0,4,7,40.385,83.90887,19.071,16.6128,21.314
Meghalaya,West Garo Hills,PMGSY-III,2019-Present,37,16,6,0,31,16,302.909,367.50477,68.25,45.3774,234.664
Meghalaya,West Khasi Hills,PMGSY-II,2013-2018,16,1,16,1,0,0,82.75,48.48534,82.75,45.6327,0
Meghalaya,West Khasi Hills,PMGSY-III,2019-Present,22,6,3,0,19,6,195.116,238.92382,32.51,23.9793,162.606
Mizoram,Champhai,PMGSY-I,2000-2013,59,0,59,0,0,0,748.765,391.1319,748.851,387.3266,0
Mizoram,Champhai,PMGSY-II,2013-2018,1,0,1,0,0,0,60,95.2352,60,87.8885,0
Mizoram,Lawngtlai,PMGSY-I,2000-2013,56,0,55,0,1,0,549.6,437.4462,542.43,409.2374,0
Mizoram,Mamit,PMGSY-I,2000-2013,28,0,28,0,0,0,294.303,158.7221,291.238,154.0991,0
Mizoram,Saiha,PMGSY-I,2000-2013,41,0,41,0,0,0,638.51,346.0749,635.73,341.9935,0
Nagaland,Dimapur,PMGSY-I,2000-2013,25,2,25,2,0,0,238.51,53.1738,238.51,50.9683,0
Nagaland,Longleng,PMGSY-II,2013-2018,1,0,1,0,0,0,11.4,11.0391,11.4,11.0379,0
Nagaland,Mon,PMGSY-I,2000-2013,36,0,35,0,1,0,313.72,57.8332,306.22,51.7305,7.5
Nagaland,Mon,PMGSY-II,2013-2018,1,2,1,2,0,0,21,26.1345,21,25.994,0
Nagaland,Peren,PMGSY-II,2013-2018,1,1,1,1,0,0,17,19.1551,17,18.5634,0
Nagaland,Phek,PMGSY-III,2019-Present,5,0,0,0,5,0,50.711,51.27989,0,0,50.711
Nagaland,Wokha,PMGSY-II,2013-2018,1,0,1,0,0,0,18,15.4289,18,15.5631,0
Nagaland,Zunheboto,PMGSY-II,2013-2018,1,0,1,0,0,0,18,16.6787,18,16.6788,0
Odisha,Angul,PMGSY-I,2000-2013,310,16,310,16,0,0,1411.008,600.14673,1340.386,564.0837,0
Odisha,Angul,PMGSY-II,2013-2018,13,0,13,0,0,0,92.675,41.2075,91.715,36.8161,0
Odisha,Angul,PMGSY-III,2019-Present,31,2,31,2,0,0,236.845,154.8914,228.715,137.6003,0
Odisha,Balasore,PMGSY-I,2000-2013,702,13,702,13,0,0,2505.605,1122.8988,2350.677,1175.1676,0
Odisha,Cuttack,PMGSY-II,2013-2018,38,0,38,0,0,0,176.735,82.10892,177.179,97.7685,0
Odisha,Gajapati,PMGSY-III,2019-Present,36,0,36,0,0,0,198,124.7562,196.758,118.2245,0
Odisha,Ganjam,PMGSY-II,2013-2018,43,2,43,2,0,0,288.931,123.91889,287.349,113.585,0
Odisha,Kalahandi,PM-JANMAN,2023-Present,10,2,0,0,10,2,19.75,24.7942,0,0,19.75
Odisha,Kandhamal,PMGSY-I,2000-2013,395,30,395,30,0,0,1735.042,710.59794,1659.08,737.4596,0
Odisha,Kendrapara,PMGSY-III,2019-Present,40,0,28,0,12,0,255.151,150.9246,218.427,120.2489,31.843
Odisha,Koraput,PMGSY-I,2000-2013,904,40,901,40,3,0,3787.363,1917.56035,3635.624,1964.5065,2.707
Odisha,Koraput,PMGSY-II,2013-2018,25,0,25,0,0,0,150.14,58.85111,149.548,52.7984,0
Odisha,Koraput,PMGSY-III,2019-Present,66,2,63,2,3,0,449.21,264.73846,443.872,232.0668,1.72
Odisha,Malkangiri,RCPLWEA,2016-Present,30,0,29,0,1,0,353.815,314.24901,343.853,285.9504,6.1
Odisha,Mayurbhanj,PM-JANMAN,2023-Present,2,0,0,0,2,0,10.8,10.4584,0,0,10.8
Odisha,Nawarangpur,PMGSY-II,2013-2018,15,2,15,2,0,0,119.74,68.7833,121.258,66.4907,0
Odisha,Nayagarh,PMGSY-II,2013-2018,15,0,15,0,0,0,94.85,42.3755,93.339,37.3433,0
Odisha,Nuapara,PMGSY-I,2000-2013,307,6,307,6,0,0,1391.95,527.444,1369.974,492.7082,0
Odisha,Nuapara,PMGSY-II,2013-2018,8,0,8,0,0,0,59.371,19.6178,59.292,16.837,0
Odisha,Nuapara,PMGSY-III,2019-Present,21,1,20,0,1,1,168.43,100.93398,162.758,91.8638,3.835
Odisha,Rayagada,PMGSY-I,2000-2013,602,21,602,21,0,0,3094.46,1241.08408,2942.946,1280.1645,0
Odisha,Sambalpur,PMGSY-III,2019-Present,35,10,34,4,1,6,234.127,193.9159,221.722,157.5285,4.84
Odisha,Sonepur,PMGSY-II,2013-2018,19,1,19,1,0,0,73.086,36.7171,71.652,33.5135,0
Odisha,Sonepur,PMGSY-III,2019-Present,30,3,30,2,0,1,191.854,144.2091,184.959,131.9224,0
Puducherry,Puducherry,PMGSY-III,2019-Present,33,0,0,0,33,0,90.737,57.09026,0,0,90.737
Punjab,Faridkot,PMGSY-I,2000-2013,23,0,23,0,0,0,190.581,80.2681,190.575,72.9015,0
Punjab,Fatehgarh Sahib,PMGSY-I,2000-2013,21,0,21,0,0,0,197.24,75.87,197.24,72.714,0
Punjab,Gurdaspur,PMGSY-II,2013-2018,2,0,2,0,0,0,16.18,11.3656,16.18,8.1924,0
Punjab,Gurdaspur,PMGSY-III,2019-Present,31,8,11,2,20,6,260.325,241.0388,85.82,67.7104,171.76
Punjab,Jalandhar,PMGSY-III,2019-Present,17,1,10,0,7,1,184.92,154.06062,106.682,52.0122,77.44
Punjab,Ludhiana,PMGSY-I,2000-2013,66,0,66,0,0,0,531.994,251.5569,531.995,241.9727,0
Punjab,Moga,PMGSY-III,2019-Present,20,2,13,1,7,1,212.37,166.57643,152.205,109.4717,58.74
Punjab,Mohali,PMGSY-I,2000-2013,8,0,8,0,0,0,63.47,28.1931,62.97,25.1317,0
Punjab,Nawashahar,PMGSY-II,2013-2018,1,0,1,0,0,0,8.38,6.1408,5.7,2.8514,0
Punjab,Patiala,PMGSY-I,2000-2013,53,0,53,0,0,0,368.76,179.9957,368.51,162.2487,0
Punjab,Patiala,PMGSY-II,2013-2018,3,0,3,0,0,0,27.1,20.2699,27.1,19.7549,0
Punjab,Sangrur,PMGSY-III,2019-Present,35,10,22,6,13,4,341.649,333.85229,218.545,185.5229,122.254
Rajasthan,Alwar,PMGSY-III,2019-Present,26,0,26,0,0,0,210.542,120.14714,207.155,94.8963,0
Rajasthan,Balotra,PMGSY-II,2013-2018,5,2,5,2,0,0,51.24,20.95518,52.74,15.1681,0
Rajasthan,Banswara,PMGSY-II,2013-2018,14,1,14,1,0,0,112.125,48.7737,112.35,32.2192,0
Rajasthan,Banswara,PMGSY-III,2019-Present,23,2,23,2,0,0,172.34,113.42684,167.93,75.5459,0
Rajasthan,Baran,PMGSY-I,2000-2013,311,12,311,12,0,0,1243.166,301.2303,1171.87,302.0229,0
Rajasthan,Baran,PMGSY-II,2013-2018,11,0,11,0,0,0,99.745,45.27195,99.799,40.3299,0
Rajasthan,Bundi,PMGSY-II,2013-2018,12,0,12,0,0,0,69.3,31.77,69.3,24.6884,0
